Location ID,Depot Id,Product Code,Day of the Week,Schedule with Wave,Time Code,Priority,Comments 1,Comments 2,Comments 3,Comments 4,Trailer Type
6079,37198,5,Thursday,2,410,1,,,,,rigid10m18t
6101,37198,10,Thursday,2,414,1,,,,,rigid8m16t
6101,37198,11,Thursday,2,414,1,,,,,rigid8m16t
6101,37198,5,Thursday,2,414,1,,,,,rigid8m16t
6105,37198,10,Thursday,2,806,1,,,,,8m
6105,37198,11,Thursday,2,806,1,,,,,8m
6105,37198,5,Thursday,2,806,1,,,,,8m
6126,37198,10,Thursday,2,110,1,,,,,rigid10m18t
6126,37198,11,Thursday,2,110,1,,,,,rigid10m18t
6126,37198,5,Thursday,2,110,1,,,,,rigid10m18t
6150,37198,10,Thursday,2,119,1,,,,,10m
6150,37198,11,Thursday,2,119,1,,,,,10m
6150,37198,5,Thursday,2,119,1,,,,,10m
6162,37198,10,Thursday,2,410,1,,,,,10m
6162,37198,11,Thursday,2,410,1,,,,,10m
6162,37198,5,Thursday,2,410,1,,,,,10m
6172,37198,10,Thursday,2,410,1,,,,,10m
6172,37198,11,Thursday,2,410,1,,,,,10m
6172,37198,5,Thursday,2,410,1,,,,,10m
6179,37198,10,Thursday,2,1300,1,,,,,10m
6179,37198,11,Thursday,2,1300,1,,,,,10m
6179,37198,5,Thursday,2,1300,1,,,,,10m
6200,37198,10,Thursday,2,210,1,,,,,10m
6200,37198,11,Thursday,2,210,1,,,,,10m
6200,37198,5,Thursday,2,210,1,,,,,10m
6206,37198,10,Thursday,2,406,1,,,,,rigid10m26t
6206,37198,11,Thursday,2,406,1,,,,,rigid10m26t
6206,37198,5,Thursday,2,406,1,,,,,rigid10m26t
6212,37198,10,Thursday,2,410,1,,,,,10m
6212,37198,11,Thursday,2,410,1,,,,,10m
6212,37198,5,Thursday,2,410,1,,,,,10m
6217,37198,10,Thursday,2,135,1,,,,,rigid10m26t
6217,37198,11,Thursday,2,135,1,,,,,rigid10m26t
6217,37198,5,Thursday,2,135,1,,,,,rigid10m26t
6230,37198,10,Thursday,2,410,1,,,,,rigid10m18t
6230,37198,11,Thursday,2,410,1,,,,,rigid10m18t
6230,37198,5,Thursday,2,410,1,,,,,rigid10m18t
6231,37198,10,Thursday,2,1649,1,,,,,10m
6231,37198,11,Thursday,2,1649,1,,,,,10m
6231,37198,5,Thursday,2,1649,1,,,,,10m
6234,37198,10,Thursday,2,743,1,,,,,rigid10m18t
6234,37198,11,Thursday,2,743,1,,,,,rigid10m18t
6234,37198,5,Thursday,2,743,1,,,,,rigid10m18t
6235,37198,10,Thursday,2,1649,1,,,,,13m
6235,37198,11,Thursday,2,1649,1,,,,,13m
6235,37198,5,Thursday,2,1649,1,,,,,13m
6244,37198,10,Thursday,2,410,1,,,,,rigid10m18t
6244,37198,11,Thursday,2,410,1,,,,,rigid10m18t
6244,37198,5,Thursday,2,410,1,,,,,rigid10m18t
6248,37198,10,Thursday,2,410,1,,,,,8m
6248,37198,11,Thursday,2,410,1,,,,,8m
6248,37198,5,Thursday,2,410,1,,,,,8m
6278,37198,10,Thursday,2,410,1,,,,,rigid10m18t
6278,37198,11,Thursday,2,410,1,,,,,rigid10m18t
6278,37198,5,Thursday,2,410,1,,,,,rigid10m18t
6289,37198,10,Thursday,2,539,1,,,,,rigid10m18t
6289,37198,11,Thursday,2,539,1,,,,,rigid10m18t
6289,37198,5,Thursday,2,539,1,,,,,rigid10m18t
6291,37198,10,Thursday,2,314,1,,,,,rigid8m16t
6291,37198,11,Thursday,2,314,1,,,,,rigid8m16t
6291,37198,5,Thursday,2,314,1,,,,,rigid8m16t
6318,37198,10,Thursday,2,410,1,,,,,10m
6318,37198,11,Thursday,2,410,1,,,,,10m
6318,37198,5,Thursday,2,410,1,,,,,10m
6319,37198,10,Thursday,2,410,1,,,,,rigid10m18t
6319,37198,11,Thursday,2,410,1,,,,,rigid10m18t
6319,37198,5,Thursday,2,410,1,,,,,rigid10m18t
6339,37198,10,Thursday,2,1620,1,,,,,rigid8m16t
6339,37198,11,Thursday,2,1620,1,,,,,rigid8m16t
6339,37198,5,Thursday,2,1620,1,,,,,rigid8m16t
6346,37198,10,Thursday,2,1335,1,,,,,rigid8m16t
6346,37198,11,Thursday,2,1335,1,,,,,rigid8m16t
6346,37198,5,Thursday,2,1335,1,,,,,rigid8m16t
6349,37198,10,Thursday,2,113,1,,,,,rigid8m16t
6349,37198,11,Thursday,2,113,1,,,,,rigid8m16t
6349,37198,5,Thursday,2,113,1,,,,,rigid8m16t
6363,37198,10,Thursday,2,407,1,,,,,rigid10m18t
6363,37198,11,Thursday,2,407,1,,,,,rigid10m18t
6363,37198,5,Thursday,2,407,1,,,,,rigid10m18t
