Store Id,Grocery,Grocery Trunk,Fresh,Fresh Trunk,Frozen,Frozen Trunk
3099,#N/A,#N/A,30053,30053,37197,30053
3102,#N/A,#N/A,30053,30053,#N/A,#N/A
3115,#N/A,#N/A,30102,30102,#N/A,#N/A
3123,#N/A,#N/A,30103,30103,37197,30103
3124,#N/A,#N/A,30103,30103,37197,30103
3125,#N/A,#N/A,30102,30102,#N/A,#N/A
3126,#N/A,#N/A,30102,30102,#N/A,#N/A
3127,#N/A,#N/A,30103,30103,37197,30103
3132,#N/A,#N/A,30102,30102,#N/A,#N/A
3133,#N/A,#N/A,30103,30103,37197,30103
3134,#N/A,#N/A,30053,30053,#N/A,#N/A
3143,#N/A,#N/A,30053,30053,#N/A,#N/A
3149,#N/A,#N/A,30103,30103,37197,30103
3151,#N/A,#N/A,30103,30103,37197,30103
3153,#N/A,#N/A,30053,30053,#N/A,#N/A
3165,#N/A,#N/A,30102,30102,#N/A,#N/A
3178,#N/A,#N/A,30103,30103,37197,30103
3186,#N/A,#N/A,30103,30103,37197,30103
3188,#N/A,#N/A,30102,30102,#N/A,#N/A
3190,#N/A,#N/A,30103,30103,37197,30103
3195,#N/A,#N/A,30053,30053,37197,30053
3199,#N/A,#N/A,30103,30103,37197,30103
3211,#N/A,#N/A,30053,30053,#N/A,#N/A
3212,#N/A,#N/A,30102,30102,#N/A,#N/A
3217,#N/A,#N/A,30053,30053,37197,30053
3220,#N/A,#N/A,30053,30053,37197,30053
3230,#N/A,#N/A,30053,30053,37197,30053
3239,#N/A,#N/A,30102,30102,#N/A,#N/A
3242,#N/A,#N/A,30053,30053,#N/A,#N/A
3244,#N/A,#N/A,30102,30102,#N/A,#N/A
3247,34512,30102,30102,30102,#N/A,#N/A
3248,#N/A,#N/A,30103,30103,37197,30103
3258,#N/A,#N/A,30102,30102,#N/A,#N/A
3262,#N/A,#N/A,30102,30102,#N/A,#N/A
3263,#N/A,#N/A,30102,30102,#N/A,#N/A
3265,34512,30102,30102,30102,#N/A,#N/A
3268,#N/A,#N/A,30103,30103,37197,30103
3269,#N/A,#N/A,30102,30102,#N/A,#N/A
3278,#N/A,#N/A,30103,30103,37197,30103
3284,#N/A,#N/A,30053,30053,37197,30053
3290,#N/A,#N/A,30102,30102,#N/A,#N/A
3293,#N/A,#N/A,30102,30102,#N/A,#N/A
3297,#N/A,#N/A,30102,30102,#N/A,#N/A
3309,#N/A,#N/A,30053,30053,37197,30053
3311,#N/A,#N/A,30103,30103,37197,30103
3312,#N/A,#N/A,30053,30053,#N/A,#N/A
3316,#N/A,#N/A,34515,34515,37197,34515
3324,#N/A,#N/A,30053,30053,37197,30053
3326,#N/A,#N/A,30103,30103,37197,30103
3327,#N/A,#N/A,30102,30102,#N/A,#N/A
3328,#N/A,#N/A,30102,30102,#N/A,#N/A
3335,#N/A,#N/A,30053,30053,37197,30053
3338,#N/A,#N/A,30103,30103,37197,30103
3339,#N/A,#N/A,30053,30053,#N/A,#N/A
3343,#N/A,#N/A,30053,30053,#N/A,#N/A
3351,#N/A,#N/A,30102,30102,#N/A,#N/A
3367,#N/A,#N/A,30053,30053,37197,30053
3370,#N/A,#N/A,30102,30102,#N/A,#N/A
3374,#N/A,#N/A,30102,30102,#N/A,#N/A
3376,#N/A,#N/A,30103,30103,37197,30103
3381,#N/A,#N/A,30052,30052,37197,30052
3384,#N/A,#N/A,30103,30103,37197,30103
3385,#N/A,#N/A,34515,34515,37197,34515
3390,#N/A,#N/A,30103,30103,37197,30103
3395,#N/A,#N/A,30053,30053,#N/A,#N/A
3398,#N/A,#N/A,30102,30102,#N/A,#N/A
3404,#N/A,#N/A,30053,30053,37197,30053
3405,#N/A,#N/A,30102,30102,#N/A,#N/A
3406,#N/A,#N/A,30103,30103,37197,30103
3411,#N/A,#N/A,30053,30053,37197,30053
3418,#N/A,#N/A,30053,30053,#N/A,#N/A
3423,#N/A,#N/A,30103,30103,37197,30103
3425,#N/A,#N/A,30103,30103,37197,30103
3430,#N/A,#N/A,30102,30102,#N/A,#N/A
3431,#N/A,#N/A,30102,30102,#N/A,#N/A
3432,#N/A,#N/A,30103,30103,37197,30103
