Location Id,Depot Id,Product Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
4460,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
6261,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
6261,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2284,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2284,30102,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
50876,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
50876,30102,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
50877,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
50877,30102,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
50878,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
50878,30102,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
50885,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
50885,30102,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
50891,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
50891,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2063,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2063,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4854,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
4854,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
50907,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
50907,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53012,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53012,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53014,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53014,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53017,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53017,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53052,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53052,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53069,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53069,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53073,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53073,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53074,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53074,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53078,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53078,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53079,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53079,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53082,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
53082,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
