Location Id,Location Name,Location Type,Format,Dotcom Locations,Night to Day Locations,Number of Bays,Drop Sequence,Paired Location,Last Drop Restriction,Council Restricted,Country,Cage Consolidation,Vol Before Cage Consolidation
2988,Ongar Express,Store,Express,No,No,1,,,No,,England,Yes,7
2998,Oulton Broad Express,Store,Express,No,No,1,,,No,,England,Yes,7
3060,Pitsea Extra,Store,Extra,Yes,No,1,,,No,,England,Yes,7
3069,Norwich Magdaln Rd Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3082,Shenfield Brentwd Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3086,Rainham Essex Extra,Store,Extra,No,No,1,,,No,,England,Yes,7
3093,Regent Street Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
3105,Romford Express,Store,Express,No,No,1,,,No,,England,Yes,7
3107,Romford Extra,Store,Extra,No,No,1,,,No,,England,Yes,7
3120,Rford Gallows Cnr Ext,Store,Extra,Yes,No,1,,,No,,England,Yes,7
3130,Saffron Walden,Store,Superstore,No,No,1,,,No,,England,Yes,7
3131,St Johns Colchester Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3156,Chadwell St Mary Expr,Store,Express,No,No,1,,,No,,England,Yes,7
3177,Southend,Store,Extra,No,No,1,,,No,,England,Yes,7
3215,South Ockendon Expres,Store,Express,No,No,1,,,No,,England,Yes,7
3222,Stroud Green ,Store,Superstore,No,Yes,1,,,No,,England,Yes,7
3234,Sudbury,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
3236,Southchurch Express,Store,Express,No,No,1,,,No,,England,Yes,7
3240,Stowmarket,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
3245,Stalham,Store,Superstore,No,No,1,,,No,,England,Yes,7
3252,Thorpe Bay Express,Store,Express,No,No,1,,,No,,England,Yes,7
3256,Longlands Express,Store,Express,No,No,1,,,No,,England,Yes,7
3264,Silva Isl Wickfrd Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3273,Norwich Acres Way Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3291,Tiptree,Store,Superstore,No,Yes,1,,,No,,England,Yes,7
3301,Thetford,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
3305,Taverham Norwich Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3317,Tulsehill Express,Store,Express,No,No,1,,,No,,England,Yes,7
3320,Theydon Bois Express,Store,Express,No,No,1,,,No,,England,Yes,7
3322,S Wotton Kgs Lyn Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3329,Upminster Express,Store,Express,No,No,1,,,No,,England,Yes,7
3331,Stanford Le Hope Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3332,Upton Park Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
3349,Romford Marlborough Arms,Store,Express,No,No,1,,,No,,England,Yes,7
3352,Wroxhm Rd Norwich Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3356,Waltham Abbey,Store,Superstore,No,Yes,1,,,No,,England,Yes,7
3359,Walthamstow Express,Store,Express,No,No,1,,,No,,England,Yes,7
3361,Waltham Cross Express,Store,Express,No,No,1,,,No,,England,Yes,7
3366,Westcliffe On Sea Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3373,Watton,Store,Superstore,No,No,1,,,No,,England,Yes,7
3417,Witham,Store,Superstore,No,Yes,1,,,No,,England,Yes,7
3422,Woodford Green,Store,Superstore,No,No,1,,,No,,England,Yes,7
3448,Wickford S/End Rd Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3474,125 The Strand Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3482,Trafalgar Square Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3483,Westminster Brdge Exp,Store,Express,No,No,1,,,No,,England,Yes,7
3490,Great Yarmouth,Store,Extra,Yes,No,1,,,No,,England,Yes,7
4337,Braintree Coggeshall Rd,Store,Express,No,No,1,,,No,,England,Yes,7
4351,Aldeburgh Saxmundham Rd EXP,Store,Express,No,No,1,,,No,,England,Yes,7
4359,London Bermondsey,Store,Metro,No,Yes,1,,,No,,England,Yes,7
4371,Ipswich Norwich Rd EXP,Store,Express,No,No,1,,,No,,England,Yes,7
4381,Ipswich Foxhall Rd EXP,Store,Express,No,No,1,,,No,,England,Yes,7
4389,London Aldgate ,Store,Express,No,No,1,,,No,,England,Yes,7
4394,Swaffham,Store,Superstore,No,No,1,,,No,,England,Yes,7
4396,Colchester Magdalen St,Store,Express,No,No,1,,,No,,England,Yes,7
4400,Bow Gladstone Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
4436,Kilburn 405 High Rd,Store,Express,No,No,1,,,No,,England,Yes,7
4474,Southwark The Cut,Store,Express,No,No,1,,,No,,England,Yes,7
4483,Newmarket,Store,Extra,Yes,No,1,,,No,,England,Yes,7
4521,Waterloo Rd,Store,Express,No,No,1,,,No,,England,Yes,7
4634,London Bridge High St,Store,Express,No,No,1,,,No,,England,Yes,7
4815,Takeley EXP,Store,Express,No,No,1,,,No,,England,Yes,7
4822,Hollingsworth Road EXP,Store,Express,No,No,1,,,No,,England,Yes,7
4827,Springfield EXP,Store,Express,No,No,1,,,No,,England,Yes,7
4828,Harwich EXP,Store,Express,No,No,1,,,No,,England,Yes,7
4830,Grange Road Parade EXP,Store,Express,No,No,1,,,No,,England,Yes,7
4832,Elsenham EXP,Store,Express,No,No,1,,,No,,England,Yes,7
4835,Denmark Hill EXP,Store,Express,No,No,1,,,No,,England,Yes,7
4849,Charlton Bakery Hub,Commercial,Commercial,No,No,1,,,No,,England,No,1000
4851,High Holborn EXP,Store,Express,No,No,1,,,No,,England,Yes,7
4901,Victoria Express,Store,Express,No,No,1,,,No,,England,Yes,7
4911,Cutty Sark Express,Store,Express,No,No,1,,,No,,England,Yes,7
4916,Blackfriars Circus Express,Store,Express,No,No,1,,,No,,England,Yes,7
4923,NORWICH CRNGLEFRD EXP,Store,Express,No,No,1,,,No,,England,Yes,7
5004,Norwich Rd Thetfd Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5013,Thorpe Le Soken Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5084,Eastwood Rayleigh  Rd Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5086,Horringer Bury St Edmunds Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5116,Hammond St Express,Store,Express,No,No,1,,,No,,England,Yes,7
5120,Fakenham,Store,Superstore,No,Yes,1,,,No,,England,Yes,7
5123,Beccles,Store,Superstore,No,Yes,1,,,No,,England,Yes,7
5125,Clacton,Store,Superstore,Yes,No,1,,,No,,England,Yes,7
5130,Monument Metro,Store,Metro,No,No,1,,,No,,England,Yes,7
5140,Bromley Rd Colch Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5152,London Smithfield,Store,Express,No,No,1,,,No,,England,Yes,7
5157,Old Broad Street Express,Store,Express,No,No,1,,,No,,England,Yes,7
5158,Holborn Viaduct Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5177,Monk St Victoria Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5178,Royals Southend Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5196,Broomfield Rd Chelmsford Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5199,The Reach Thamesmead Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5210,Diss,Store,Superstore,No,Yes,1,,,No,,England,Yes,7
5215,East Dulwich Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5222,Clerkenwell Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5241,London Road Westcliffe Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5260,Wootton Road Kings Lynn Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5275,Earlham Road Norwich Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5282,116 Commercial St London Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5284,Plumstead Road Norwich Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5295,Aylsham,Store,Superstore,No,No,1,,,No,,England,Yes,7
5327,Highams Park,Store,Superstore,No,Yes,1,,,No,,England,Yes,7
5343,Crouch St Colchester Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5372,Theobalds Park Exp,Store,Express,No,No,1,,,No,,England,Yes,7
5376,Hetherset Melton Road Exp,Store,Express,No,No,1,,,No,,England,Yes,7
