Fixed Trip Id,Start Location,End Location,Drop Location,Target,Sequence,Arrival Time,Visit Type,Vehicle Type,Day of the Week,Day of the Leg,Schedule with Wave,Driver,Product Code,Volume,Flexible Start,Flexible End
35,30053,30053,30102,,2,04:30-05:29,Collection,13m,Wednesday,Wednesday,1,,7,45,No,No
35,30053,30053,8880030,,3,05:30-06:29,Delivery,13m,Wednesday,Wednesday,1,,7,45,No,No
35,30053,30053,8880030,,4,06:30-07:29,Collection,13m,Wednesday,Wednesday,1,,7,45,No,No
36,30053,30053,2279,,1,21:30-22:29,Delivery,13m,Wednesday,Wednesday,2,,8,,No,No
36,30053,30053,2279,,2,21:30-22:29,Delivery,13m,Wednesday,Wednesday,2,,1,,No,No
36,30053,30053,34515,,3,00:00-01:00,Collection,13m,Wednesday,Thursday,2,,7,45,No,No
36,30053,30053,6126812,,4,01:00-01:59,Delivery,13m,Wednesday,Thursday,2,,7,45,No,No
36,30053,30053,6126812,,5,02:00-02:59,Collection,13m,Wednesday,Thursday,2,,7,45,No,No
37,30053,30053,4480,,1,22:00-22:59,Delivery,13m,Wednesday,Wednesday,2,,1,,No,No
37,30053,30053,30102,,2,00:00-00:59,Collection,13m,Wednesday,Thursday,2,,7,45,No,No
37,30053,30053,8880030,,3,01:30-02:29,Delivery,13m,Wednesday,Thursday,2,,7,45,No,No
37,30053,30053,8880030,,4,02:30-03:29,Collection,13m,Wednesday,Thursday,2,,7,45,No,No
38,30053,30053,2708,,1,09:59-10:00,Delivery,rigid8m16t,Thursday,Thursday,1,,1,,No,No
38,30053,30053,34517,,2,11:30-12:29,Collection,rigid8m16t,Thursday,Thursday,1,,11,15,No,No
38,30053,30053,2708,,3,14:00-14:59,Delivery,rigid8m16t,Thursday,Thursday,1,,11,15,No,No
39,30053,30053,7892100,,1,14:00-14:01,Delivery,13m,Thursday,Thursday,2,,6,45,No,No
41,30053,30053,2064,,1,02:00-02:59,Delivery,13m,Thursday,Thursday,1,,1,,No,No
41,30053,30053,30102,,2,04:30-05:29,Collection,13m,Thursday,Thursday,1,,7,45,No,No
41,30053,30053,8880030,,3,05:30-06:29,Delivery,13m,Thursday,Thursday,1,,7,45,No,No
41,30053,30053,8880030,,4,06:30-07:29,Collection,13m,Thursday,Thursday,1,,7,45,No,No
42,30053,30053,2279,,1,16:30-17:29,Delivery,13m,Thursday,Thursday,2,,8,,No,No
42,30053,30053,2279,,2,16:30-17:29,Delivery,13m,Thursday,Thursday,2,,1,,No,No
42,30053,30053,34515,,3,19:00-19:59,Collection,13m,Thursday,Thursday,2,,7,45,No,No
42,30053,30053,6126812,,4,20:00-20:59,Delivery,13m,Thursday,Thursday,2,,7,45,No,No
42,30053,30053,6126812,,5,20:59-21:59,Collection,13m,Thursday,Thursday,2,,7,45,No,No
43,30053,30053,4480,,1,22:00-22:59,Delivery,13m,Thursday,Thursday,2,,1,,No,No
43,30053,30053,30102,,2,00:30-01:29,Collection,13m,Thursday,Friday,2,,7,45,No,No
43,30053,30053,8880030,,3,01:30-02:29,Delivery,13m,Thursday,Friday,2,,7,45,No,No
43,30053,30053,8880030,,4,02:30-03:29,Collection,13m,Thursday,Friday,2,,7,45,No,No
44,30053,30053,2708,,1,09:59-10:00,Delivery,rigid8m16t,Saturday,Saturday,1,,8,,No,No
44,30053,30053,2708,,2,09:59-10:00,Delivery,rigid8m16t,Saturday,Saturday,1,,1,,No,No
44,30053,30053,34517,,3,11:30-12:29,Collection,rigid8m16t,Saturday,Saturday,1,,11,15,No,No
44,30053,30053,2708,,4,14:00-14:59,Delivery,rigid8m16t,Saturday,Saturday,1,,11,15,No,No
46,30053,30053,7892100,,1,14:00-14:01,Delivery,13m,Friday,Friday,2,,6,45,No,No
47,30053,30053,2064,,1,02:00-02:59,Delivery,13m,Friday,Friday,1,,1,,No,No
47,30053,30053,30102,,2,04:30-05:29,Collection,13m,Friday,Friday,1,,7,45,No,No
47,30053,30053,8880030,,3,05:30-06:29,Delivery,13m,Friday,Friday,1,,7,45,No,No
47,30053,30053,8880030,,4,06:30-07:29,Collection,13m,Friday,Friday,1,,7,45,No,No
48,30053,30053,3230,,1,21:30-22:29,Delivery,13m,Friday,Friday,2,,1,,No,No
48,30053,30053,34515,,2,00:00-00:59,Collection,13m,Friday,Saturday,2,,7,45,No,No
48,30053,30053,6126812,,3,01:00-01:59,Delivery,13m,Friday,Saturday,2,,7,45,No,No
48,30053,30053,6126812,,4,02:00-02:59,Collection,13m,Friday,Saturday,2,,7,45,No,No
49,30053,30053,4480,,1,22:00-22:59,Delivery,13m,Friday,Friday,2,,1,,No,No
49,30053,30053,30102,,2,00:30-01:29,Collection,13m,Friday,Saturday,2,,7,45,No,No
