Location Id,Depot Id,Schedule OTB with Wave,Loading Time - Fixed,Unloading Time - Fixed,Loading Time - Variable,Unloading Time - Variable,RSU Percentage Override,Balance Profile,First Balance Load Percentage
6741,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
6777,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6782,30102,2,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
6809,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6852,30102,2,00:30:00,00:30:00,00:01:30,00:01:30,,Default,
6854,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6857,30102,1,00:20:00,00:20:00,00:01:15,00:01:15,,Default,
6858,30102,2,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
6876,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
53001,30102,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
53005,30102,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
53006,30102,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
53023,30102,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
4949,30102,1,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
4936,30102,1,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
4954,30102,1,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
4940,30102,1,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
4950,30102,1,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
57866,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57867,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57868,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57869,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57902,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57907,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57910,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57927,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57930,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57932,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57942,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
