Location Id,Product Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
2425,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2446,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2447,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2447,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2452,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2452,8,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2454,1,06:30,06:30,06:30,06:30,06:30,07:00,08:00,08:00
2454,8,06:30,06:30,06:30,06:30,06:30,07:00,08:00,08:00
2475,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2475,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2484,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2488,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2488,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2494,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2494,8,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2496,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2496,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2499,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2499,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2501,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2503,1,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2504,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2504,10,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2505,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2509,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2509,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2510,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2510,8,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2510,10,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2511,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2511,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2514,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2514,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2515,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2515,10,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2516,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2516,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2518,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2518,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2520,1,04:00,04:00,04:00,04:00,04:00,04:00,12:30,12:30
2520,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2530,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2530,8,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2532,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2532,8,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2537,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2537,8,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2537,10,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2538,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2538,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2552,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2552,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2563,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2563,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2564,1,06:00,06:00,06:00,06:00,06:00,06:00,06:00,06:00
2564,8,06:00,06:00,06:00,06:00,06:00,06:00,06:00,06:00
2586,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2586,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2590,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2590,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2594,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2606,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2608,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2609,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2609,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2611,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2624,1,05:00,05:00,05:00,05:00,05:00,05:00,08:00,05:00
2628,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2628,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2636,1,07:30,07:30,07:30,07:30,07:30,07:30,07:30,07:30
2636,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2637,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2637,8,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2640,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2640,8,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2641,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2641,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2642,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2642,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2644,1,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2644,8,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2650,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2653,1,06:00,06:00,06:00,06:00,06:00,06:00,07:00,07:00
2653,8,06:00,06:00,06:00,06:00,06:00,06:00,07:00,07:00
2657,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2657,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2663,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2663,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2668,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2668,8,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2670,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2670,8,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2675,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2675,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2679,1,06:30,06:30,06:30,06:30,06:30,06:30,06:30,06:30
2679,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2683,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2683,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2688,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2688,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2695,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2695,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2696,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2696,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2700,1,06:30,06:30,06:30,06:30,06:30,06:30,08:30,08:30
2700,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2704,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2704,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2704,10,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2708,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
